ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,"Some Other Race Alone",1,"Hispanic or Latino",2016,"2016",85,"Ames, IA","16000US1901855","ames-ia",278,0.004338801055046588
6,"Two or More Races",0,"Not Hispanic or Latino",2016,"2016",452.31957729021633,"Ames, IA","16000US1901855","ames-ia",1931,0.030137499414730075
6,"Two or More Races",1,"Hispanic or Latino",2016,"2016",33.83784863137726,"Ames, IA","16000US1901855","ames-ia",40,0.0006242879215894371
0,"White Alone",0,"Not Hispanic or Latino",2015,"2015",377,"Ames, IA","16000US1901855","ames-ia",51367,0.817750537292048
0,"White Alone",1,"Hispanic or Latino",2015,"2015",263,"Ames, IA","16000US1901855","ames-ia",1442,0.022956300246756347
1,"Black or African American Alone",0,"Not Hispanic or Latino",2015,"2015",258,"Ames, IA","16000US1901855","ames-ia",1975,0.03144153466528695
1,"Black or African American Alone",1,"Hispanic or Latino",2015,"2015",102,"Ames, IA","16000US1901855","ames-ia",140,0.002228767014248189
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2015,"2015",75,"Ames, IA","16000US1901855","ames-ia",85,0.0013531799729364006
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2015,"2015",22,"Ames, IA","16000US1901855","ames-ia",0,0
3,"Asian Alone",0,"Not Hispanic or Latino",2015,"2015",400,"Ames, IA","16000US1901855","ames-ia",5786,0.09211175674600015
3,"Asian Alone",1,"Hispanic or Latino",2015,"2015",8,"Ames, IA","16000US1901855","ames-ia",5,0.00007959882193743533
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2015,"2015",33,"Ames, IA","16000US1901855","ames-ia",19,0.0003024755233622542
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2015,"2015",18,"Ames, IA","16000US1901855","ames-ia",12,0.00019103717264984477
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2015,"2015",22,"Ames, IA","16000US1901855","ames-ia",0,0
5,"Some Other Race Alone",1,"Hispanic or Latino",2015,"2015",77,"Ames, IA","16000US1901855","ames-ia",254,0.0040436201544217145
